encryption_enabled,loss,accuracy,timestamp
True,2.3099732368615022,0.1006,2025-08-22 10:34:39
True,2.327101768202083,0.0988,2025-08-22 10:34:41
True,2.32008986108622,0.1146,2025-08-22 10:34:41
True,2.109069355733835,0.175,2025-08-22 10:34:49
True,2.1260009654767953,0.2036,2025-08-22 10:34:49
True,2.0936132373323866,0.1946,2025-08-22 10:34:51
True,2.0692829865558893,0.1926,2025-08-22 10:34:51
True,2.058851456186574,0.2192,2025-08-22 10:45:48
True,2.103347880825116,0.1884,2025-08-22 10:45:48
True,2.2801643070901276,0.1552,2025-08-22 10:45:49
True,2.2780735067501188,0.158,2025-08-22 10:45:49
True,2.0002168287896804,0.241,2025-08-22 10:45:55
True,2.061663355037665,0.1884,2025-08-22 10:45:56
True,2.135155734742523,0.1914,2025-08-22 10:45:57
True,2.1282830230749337,0.187,2025-08-22 10:45:57
True,2.0335254570481123,0.2392,2025-08-22 10:46:03
True,1.9512836842020607,0.2488,2025-08-22 10:46:03
True,1.9765887624898535,0.2278,2025-08-22 10:46:05
True,1.991907586717302,0.2312,2025-08-22 10:46:05
True,2.0631916287598338,0.2032,2025-08-22 10:50:27
True,2.0147769845974675,0.2102,2025-08-22 10:50:27
True,2.2162992225331104,0.123,2025-08-22 10:50:29
True,2.2152802701209002,0.1254,2025-08-22 10:50:30
True,2.02113713428473,0.2436,2025-08-22 10:50:46
True,2.0695716499522994,0.2036,2025-08-22 10:50:46
True,2.131572563177461,0.183,2025-08-22 10:50:49
True,2.120415973055894,0.1796,2025-08-22 10:50:49
True,2.0468970977576677,0.2306,2025-08-22 10:51:04
True,2.064712971638722,0.2066,2025-08-22 10:51:05
True,2.098736398538966,0.1898,2025-08-22 10:51:07
True,2.0984467761531755,0.196,2025-08-22 10:51:08
True,2.3078099496804985,0.0974,2025-08-22 10:51:58
True,2.0384055155857355,0.2274,2025-08-22 10:51:59
True,2.3075992058796486,0.0954,2025-08-22 10:52:00
True,2.305415653119421,0.102,2025-08-22 10:52:00
True,2.0315841633802765,0.235,2025-08-22 10:52:09
True,1.9942199325865242,0.24,2025-08-22 10:52:10
